event_count,country_United_States,country_Saudi_Arabia,country_India,country_Britain,country_Italy,average_load_time,max_load_time,event_bench_load_success_count,event_profile_search_success_count,event_add_profile_success_count,event_upgrade_plan_count,event_pricing_model_count,event_profile_load_fail_count,event_email_receipt_count,platform_all_count,platform_brbench_count,platform_fb_count,platform_hashtags_count,platform_ig._count,platform_ig_count,platform_li_count,platform_meta_count,platform_nan_count,platform_tk_count,platform_tw_count,platform_xch_count,platform_yt_count,platform_total_count,view_add,view_addprofiles,view_ads,view_bench,view_benchmark,view_brands,view_campaigns,view_connect,view_content-pillars,view_hashtag,view_nan,view_page,view_postsfeed,view_profile,view_proj,view_projecthome,view_reports,view_search,view_settings,view_upgradeplan
455,0,0,1,0,0,1.3581923076923077,2.846,4,25,13,3,3,2,0,0,0,62,0,0,94,83,0,4,0,40,175,0,513.2041923076923,0,0,0,0,13,4,5,0,0,0,128,0,4,228,0,72,1,0,0,3
103,0,0,0,0,0,1.387357142857143,1.721,2,8,7,0,0,0,0,0,0,0,0,0,48,0,0,1,8,11,28,7,123.10835714285714,0,0,0,0,5,0,4,0,0,0,37,0,4,51,0,2,0,0,0,0
402,0,0,1,0,0,1.695719512195122,3.151,2,23,21,0,0,0,12,0,0,262,0,0,0,0,0,17,0,0,124,0,466.84671951219514,0,0,0,0,10,0,0,0,0,0,151,0,0,195,0,47,0,0,0,0
20,0,0,0,0,0,1.7409999999999999,3.141,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,13,0,0,7,0,36.882,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,1.7409999999999999,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,7.882,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,1.7409999999999999,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,9.882,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
54,0,0,1,0,0,6.336333333333333,16.002,0,1,1,2,2,0,12,0,0,0,0,0,24,0,0,28,0,0,4,0,97.33833333333334,0,0,0,0,0,0,0,0,0,0,35,0,0,21,0,0,0,0,0,0
71,0,0,0,0,0,1.9268,2.662,2,6,3,0,0,0,12,0,0,0,0,0,18,0,0,14,15,0,24,0,98.58879999999999,0,0,0,0,6,0,0,0,0,0,40,0,0,18,0,7,0,0,0,0
12,0,0,0,0,0,1.7409999999999999,3.141,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,24.881999999999998,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4
52,0,0,0,0,0,1.5525,1.963,4,3,3,0,0,0,3,0,0,0,0,0,30,0,0,8,0,0,14,0,68.5155,0,0,0,0,13,0,0,0,0,0,27,0,0,8,0,4,0,0,0,0
324,0,0,0,0,0,3.134457142857143,18.939,7,16,13,0,0,6,1,0,0,14,0,0,50,0,0,44,101,0,138,17,429.07345714285714,0,0,0,0,25,0,0,0,0,0,170,0,0,125,0,44,0,0,0,0
5,0,0,0,0,0,1.7409999999999999,3.141,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13.882,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2
684,0,0,0,0,0,7.904273195876289,155.124,0,18,21,4,4,0,0,0,0,416,0,0,144,0,2,8,0,0,121,0,901.0282731958763,0,0,0,0,0,0,0,0,0,0,123,0,0,514,0,50,0,0,0,4
26,0,0,1,0,0,2.0535,2.126,0,1,1,0,0,0,2,0,0,0,0,0,11,0,0,9,0,0,6,0,35.179500000000004,0,0,0,0,0,0,0,0,0,0,17,0,0,8,0,1,0,0,0,0
45,0,0,0,0,0,10.428,27.167,0,1,1,0,0,0,2,0,0,36,0,0,0,0,0,5,0,0,4,0,86.595,0,0,0,0,0,0,0,0,0,0,12,0,0,33,0,0,0,0,0,0
10,0,0,0,0,0,1.7409999999999999,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,14.882,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,1.129,1.911,5,2,2,0,0,0,2,0,0,0,0,0,0,0,0,6,0,45,9,0,74.03999999999999,0,0,0,0,16,0,0,0,0,0,16,0,0,25,0,3,0,0,0,0
168,0,0,0,0,0,1.2565,3.538,8,17,4,0,0,0,2,0,3,35,0,0,8,0,0,9,9,5,94,5,203.7945,0,0,0,4,24,0,4,0,0,5,71,0,24,15,0,17,4,0,0,0
24,1,0,0,0,0,1.3485,1.52,0,1,1,0,0,0,1,0,0,12,0,0,0,0,0,2,0,0,10,0,29.8685,0,0,0,0,0,0,7,0,0,0,11,0,0,6,0,0,0,0,0,0
47,0,0,1,0,0,3.6626666666666665,6.081,1,1,1,0,0,0,12,0,0,0,0,0,5,0,0,22,0,0,20,0,72.74366666666667,0,0,0,0,3,0,6,0,0,0,28,0,4,0,0,4,2,0,0,0
91,0,0,0,0,0,2.4884285714285714,4.052,0,6,5,0,0,0,9,0,0,10,0,0,27,0,0,15,0,2,38,0,118.54042857142858,0,0,0,0,0,0,2,0,0,0,47,0,0,29,0,9,5,0,0,0
405,0,0,0,0,1,4.803135135135135,28.388,12,15,13,1,1,1,1,0,0,0,0,0,204,15,0,6,43,11,116,13,486.19113513513514,0,0,0,0,41,46,2,0,0,0,91,0,0,209,0,18,0,0,0,1
